iter	Passed	Remaining
0	138	137876
1	140	69879
2	141	47163
3	143	35832
4	146	29054
5	147	24505
6	149	21231
7	151	18778
8	153	16874
9	155	15351
10	156	14106
11	158	13068
12	160	12197
13	163	11505
14	165	10877
15	168	10344
16	170	9847
17	172	9393
18	173	8981
19	176	8630
20	178	8328
21	181	8064
22	183	7811
23	186	7594
24	189	7385
25	191	7190
26	194	6998
27	196	6820
28	199	6665
29	201	6514
30	203	6373
31	205	6229
32	208	6095
33	210	5969
34	212	5856
35	215	5782
36	220	5730
37	222	5640
38	225	5546
39	227	5453
40	229	5362
41	231	5289
42	234	5208
43	236	5132
44	238	5061
45	240	4992
46	243	4929
47	245	4875
48	250	4868
49	252	4804
50	257	4785
51	259	4727
52	260	4661
53	262	4598
54	264	4539
55	265	4478
56	267	4422
57	268	4365
58	270	4311
59	271	4257
60	275	4240
61	277	4193
62	278	4143
63	280	4107
64	282	4061
65	283	4016
66	286	3985
67	287	3945
68	289	3903
69	290	3863
70	293	3844
71	295	3802
72	296	3760
73	297	3718
74	298	3678
75	300	3651
76	301	3617
77	303	3583
78	304	3549
79	305	3515
80	307	3483
81	308	3452
82	309	3422
83	311	3392
84	312	3364
85	313	3336
86	315	3308
87	316	3280
88	317	3252
89	319	3225
90	320	3198
91	323	3193
92	324	3167
93	325	3138
94	326	3113
95	328	3088
96	329	3069
97	331	3049
98	332	3026
99	333	3004
100	335	2982
101	336	2960
102	337	2937
103	338	2914
104	339	2893
105	340	2872
106	341	2852
107	343	2833
108	344	2816
109	345	2797
110	346	2778
111	347	2758
112	348	2739
113	349	2719
114	350	2699
115	351	2680
116	352	2661
117	353	2642
118	354	2624
119	355	2606
120	356	2589
121	358	2583
122	360	2567
123	361	2552
124	362	2538
125	363	2523
126	364	2508
127	366	2494
128	367	2481
129	368	2466
130	369	2451
131	370	2437
132	372	2425
133	373	2412
134	374	2399
135	375	2385
136	376	2373
137	377	2360
138	379	2347
139	380	2335
140	381	2324
141	382	2312
142	383	2300
143	385	2290
144	386	2278
145	387	2266
146	388	2255
147	389	2243
148	390	2232
149	392	2221
150	393	2210
151	394	2199
152	395	2189
153	396	2178
154	397	2168
155	400	2168
156	402	2159
157	403	2152
158	405	2144
159	406	2134
160	408	2126
161	409	2117
162	410	2108
163	411	2099
164	414	2096
165	415	2088
166	417	2081
167	418	2073
168	420	2067
169	422	2061
170	422	2050
171	424	2043
172	426	2036
173	427	2029
174	429	2023
175	430	2015
176	432	2008
177	433	2004
178	435	1996
179	436	1989
180	438	1982
181	439	1975
182	441	1969
183	442	1963
184	444	1956
185	445	1949
186	446	1943
187	448	1936
188	449	1929
189	451	1923
190	452	1916
191	454	1912
192	456	1906
193	457	1902
194	459	1895
195	460	1889
196	462	1883
197	463	1877
198	465	1871
199	466	1865
200	467	1860
201	470	1859
202	471	1852
203	472	1844
204	473	1837
205	474	1829
206	475	1822
207	476	1815
208	477	1808
209	478	1801
210	479	1794
211	480	1787
212	482	1781
213	483	1774
214	484	1768
215	485	1761
216	486	1754
217	487	1748
218	488	1741
219	489	1734
220	490	1728
221	491	1721
222	492	1715
223	493	1709
224	494	1703
225	496	1701
226	500	1705
227	503	1703
228	504	1699
229	507	1699
230	509	1696
231	513	1701
232	515	1697
233	517	1692
234	518	1688
235	519	1683
236	521	1678
237	523	1674
238	524	1669
239	525	1664
240	526	1659
241	528	1654
242	529	1649
243	530	1644
244	532	1639
245	533	1634
246	534	1630
247	536	1626
248	537	1621
249	539	1617
250	540	1613
251	542	1608
252	543	1604
253	545	1600
254	546	1596
255	547	1592
256	549	1588
257	552	1588
258	553	1584
259	555	1582
260	557	1577
261	558	1574
262	560	1569
263	561	1565
264	562	1560
265	563	1555
266	564	1550
267	566	1546
268	567	1541
269	568	1536
270	569	1531
271	570	1527
272	571	1522
273	572	1517
274	573	1512
275	574	1508
276	576	1503
277	577	1499
278	578	1494
279	579	1490
280	580	1485
281	581	1481
282	582	1477
283	584	1473
284	585	1468
285	586	1464
286	587	1460
287	588	1455
288	589	1451
289	591	1447
290	592	1444
291	594	1440
292	595	1436
293	596	1432
294	597	1428
295	598	1424
296	600	1420
297	601	1416
298	602	1412
299	603	1407
300	604	1403
301	605	1399
302	606	1395
303	607	1391
304	608	1387
305	610	1383
306	611	1379
307	612	1375
308	613	1371
309	614	1368
310	615	1364
311	618	1363
312	619	1359
313	621	1357
314	622	1354
315	624	1351
316	625	1348
317	627	1344
318	629	1343
319	631	1340
320	632	1337
321	633	1334
322	636	1334
323	638	1331
324	639	1328
325	641	1325
326	642	1322
327	644	1320
328	645	1317
329	647	1314
330	648	1311
331	650	1308
332	651	1305
333	653	1302
334	654	1298
335	655	1295
336	657	1292
337	658	1289
338	659	1286
339	661	1283
340	662	1280
341	663	1277
342	665	1273
343	666	1270
344	667	1267
345	668	1264
346	670	1261
347	671	1258
348	673	1255
349	674	1252
350	675	1249
351	677	1246
352	678	1243
353	679	1240
354	680	1237
355	682	1233
356	683	1231
357	684	1227
358	685	1224
359	686	1221
360	688	1218
361	689	1215
362	691	1213
363	692	1209
364	693	1206
365	694	1203
366	696	1200
367	697	1197
368	698	1194
369	699	1191
370	701	1188
371	702	1185
372	703	1182
373	704	1179
374	706	1177
375	707	1174
376	708	1170
377	709	1167
378	710	1164
379	712	1161
380	713	1158
381	714	1155
382	715	1153
383	717	1150
384	718	1148
385	720	1145
386	721	1143
387	723	1141
388	725	1139
389	727	1137
390	728	1135
391	730	1132
392	731	1130
393	733	1128
394	735	1125
395	736	1123
396	737	1120
397	739	1117
398	740	1115
399	741	1112
400	742	1109
401	744	1107
402	745	1104
403	746	1101
404	748	1099
405	749	1096
406	751	1094
407	752	1091
408	753	1089
409	754	1086
410	756	1083
411	757	1081
412	758	1078
