iter	Passed	Remaining
0	151	151058
1	152	76180
2	153	51141
3	155	38620
4	156	31126
5	157	26133
6	160	22743
7	161	20066
8	163	17955
9	164	16262
10	165	14879
11	166	13731
12	168	12760
13	169	11929
14	171	11237
15	173	10692
16	175	10148
17	176	9635
18	177	9182
19	179	8773
20	180	8404
21	181	8071
22	182	7768
23	184	7494
24	186	7266
25	188	7048
26	189	6825
27	190	6616
28	191	6419
29	192	6237
30	194	6064
31	195	5905
32	196	5761
33	197	5623
34	199	5505
35	201	5391
36	202	5274
37	203	5160
38	204	5051
39	206	4948
40	207	4851
41	208	4763
42	210	4675
43	213	4641
44	215	4575
45	216	4497
46	218	4422
47	219	4350
48	220	4282
49	222	4218
50	223	4154
51	224	4090
52	225	4035
53	227	3993
54	229	3948
55	231	3894
56	232	3841
57	233	3790
58	234	3747
59	236	3705
60	238	3664
61	239	3620
62	241	3592
63	244	3569
64	245	3531
65	246	3491
66	247	3452
67	249	3415
68	250	3379
69	251	3345
70	253	3311
71	254	3284
72	256	3259
73	257	3227
74	259	3199
75	261	3180
76	264	3171
77	266	3145
78	267	3119
79	269	3099
80	273	3099
81	274	3074
82	275	3043
83	276	3019
84	278	3002
85	280	2985
86	282	2963
87	283	2941
88	286	2928
89	288	2914
90	289	2893
91	290	2871
92	292	2850
93	293	2830
94	294	2808
95	296	2788
96	297	2768
97	300	2765
98	303	2757
99	304	2742
100	306	2729
101	308	2714
102	309	2696
103	311	2679
104	314	2683
105	317	2676
106	318	2659
107	320	2643
108	321	2628
109	322	2613
110	324	2597
111	325	2581
112	327	2566
113	329	2560
114	331	2552
115	333	2539
116	334	2522
117	335	2509
118	337	2495
119	338	2481
120	339	2467
121	340	2452
122	342	2443
123	344	2435
124	346	2422
125	347	2410
126	348	2396
127	349	2383
128	351	2371
129	352	2359
130	353	2347
131	355	2334
132	356	2327
133	358	2319
134	360	2309
135	361	2298
136	363	2288
137	365	2280
138	366	2270
139	367	2259
140	369	2249
141	371	2243
142	372	2233
143	374	2223
144	375	2214
145	377	2206
146	378	2197
147	380	2188
148	381	2181
149	383	2172
150	384	2164
151	386	2155
152	388	2148
153	389	2140
154	391	2131
155	392	2123
156	394	2116
157	396	2111
158	398	2105
159	401	2105
160	403	2101
161	406	2102
162	408	2097
163	410	2092
164	413	2091
165	415	2085
166	416	2078
167	418	2073
168	420	2066
169	422	2061
170	424	2056
171	426	2051
172	428	2046
173	430	2041
174	431	2036
175	434	2032
176	436	2027
177	437	2020
178	439	2015
179	441	2010
180	443	2006
181	445	2002
182	447	1999
183	450	1998
184	452	1993
185	454	1988
186	456	1984
187	458	1980
188	461	1978
189	462	1973
190	464	1968
191	466	1962
192	468	1958
193	470	1954
194	472	1949
195	474	1947
196	478	1950
197	480	1947
198	484	1950
199	486	1945
200	488	1940
201	489	1934
202	491	1929
203	493	1924
204	495	1919
205	496	1914
206	498	1910
207	500	1904
208	501	1899
209	503	1893
210	505	1888
211	506	1884
212	508	1879
213	510	1874
214	512	1870
215	514	1866
216	515	1860
217	517	1857
218	519	1852
219	521	1849
220	524	1848
221	526	1843
222	527	1839
223	530	1838
224	532	1834
225	534	1831
226	536	1828
227	538	1824
228	541	1823
229	543	1818
230	544	1813
231	546	1808
232	548	1803
233	549	1800
234	551	1795
235	553	1790
236	554	1785
237	556	1780
238	557	1775
239	559	1771
240	561	1767
241	563	1764
242	564	1759
243	566	1755
244	568	1751
245	569	1747
246	571	1742
247	573	1738
248	575	1734
249	577	1732
250	579	1728
251	580	1723
252	582	1719
253	583	1715
254	585	1710
255	587	1707
256	589	1704
257	591	1701
258	593	1698
259	595	1694
260	596	1690
261	599	1689
262	601	1685
263	603	1683
264	606	1680
265	609	1680
266	611	1678
267	614	1678
268	616	1676
269	618	1672
270	621	1672
271	623	1669
272	625	1665
273	626	1660
274	628	1656
275	630	1652
276	631	1649
277	633	1644
278	635	1641
279	636	1637
280	638	1633
281	640	1629
282	642	1626
283	644	1625
284	647	1625
285	651	1627
286	656	1631
287	659	1629
288	660	1625
289	662	1622
290	664	1618
291	666	1617
292	669	1615
293	673	1618
294	678	1620
295	680	1619
296	682	1615
297	684	1611
298	686	1608
299	688	1605
300	690	1602
301	691	1598
302	693	1594
303	695	1591
304	696	1587
305	698	1584
306	700	1580
307	702	1577
308	703	1573
309	705	1569
310	706	1566
311	708	1562
312	710	1558
313	711	1555
314	713	1551
315	715	1547
316	716	1544
317	718	1540
318	720	1537
319	722	1535
320	724	1533
321	728	1533
322	730	1530
323	732	1527
324	733	1523
325	736	1522
326	738	1518
327	739	1515
328	741	1511
329	742	1508
330	744	1504
331	745	1500
332	747	1497
333	749	1494
334	751	1492
335	753	1489
336	755	1486
337	757	1483
338	758	1479
339	760	1475
340	761	1472
341	763	1469
342	765	1466
343	767	1462
344	768	1459
345	770	1455
346	771	1452
347	773	1449
348	775	1445
349	777	1443
350	778	1440
351	780	1437
352	782	1434
353	783	1430
354	785	1427
355	787	1423
356	788	1420
357	791	1418
358	792	1415
359	794	1412
360	795	1408
361	797	1405
362	799	1402
363	802	1401
364	808	1407
365	813	1409
366	815	1407
367	817	1404
368	819	1400
369	820	1397
370	822	1393
371	823	1390
372	825	1387
373	826	1384
374	828	1380
375	830	1377
376	831	1374
377	833	1371
378	835	1368
379	837	1366
380	839	1363
381	841	1360
382	842	1357
383	844	1354
384	846	1352
385	847	1348
386	849	1346
387	851	1343
388	853	1340
389	860	1345
390	864	1347
391	867	1344
392	869	1342
393	871	1339
394	872	1336
395	877	1338
396	879	1336
397	881	1333
398	885	1333
399	887	1331
400	889	1328
401	891	1325
402	893	1323
403	895	1320
404	897	1318
405	898	1315
406	900	1312
407	902	1308
408	903	1306
409	905	1303
410	907	1300
411	908	1297
412	910	1294
413	912	1291
414	914	1289
415	916	1286
416	918	1283
417	919	1280
418	921	1277
419	922	1274
420	924	1271
421	926	1268
422	927	1265
